Tweet;Prediction;Feedback
il fait beau;positif;Oui
i love you;positif;Oui
je vais bien;positif;Oui
i love car;positif;Oui
Samuel is the best;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
i love this car;positif;Oui
Samuel is the best;positif;Oui
Samuel is the best;positif;Oui
Samuel is the best;positif;Oui
Je suis très heureux aujourd'hui;positif;Oui
i don't really like him;positif;Non
i don't really like her;positif;Non
i don't really like her;positif;Non
i don't really like her;positif;Non
i don't really like them;positif;Non
i don't really like them;positif;Non
i don't really like them;positif;Non
i don't want this to happen;positif;Non
i don't want this to happen;négatif;Non
i don't want this to happen;négatif;Non
it's raining;négatif;Non
it's raining;positif;Non
it's raining;positif;Non
the sun is shining today;positif;Oui
i love it;positif;Oui
i love it;positif;Oui
i love it;positif;Non
i don't like it;positif;Non
i don't like it;positif;Non
i don't like it;positif;Non
i don't like that;positif;Non
i don't like that;positif;Non
i don't like that;positif;Non
